FamilyID,SNR_dB,Metric,MetricLabel,N,Method,MeanRank,MedianRank,FinalMeanRank_N50,MeanRankShiftFromN50
6,10,SI_NRMSE,SI-NRMSE,30,DS-DMAS,5,5,5,0
6,10,SI_NRMSE,SI-NRMSE,30,TR,2.13333333333333,2,2.3,-0.166666666666667
6,10,SI_NRMSE,SI-NRMSE,40,DAS,1.475,1,1.44,0.0350000000000001
6,10,SI_NRMSE,SI-NRMSE,40,CF-DAS,2.25,3,2.26,-0.00999999999999979
6,10,SI_NRMSE,SI-NRMSE,40,SCF-DAS,6,6,6,0
6,10,SI_NRMSE,SI-NRMSE,40,DMAS,4,4,4,0
6,10,SI_NRMSE,SI-NRMSE,40,DS-DMAS,5,5,5,0
6,10,SI_NRMSE,SI-NRMSE,40,TR,2.275,2,2.3,-0.0249999999999999
6,10,SI_NRMSE,SI-NRMSE,50,DAS,1.44,1,1.44,0
6,10,SI_NRMSE,SI-NRMSE,50,CF-DAS,2.26,2.5,2.26,0
6,10,SI_NRMSE,SI-NRMSE,50,SCF-DAS,6,6,6,0
6,10,SI_NRMSE,SI-NRMSE,50,DMAS,4,4,4,0
6,10,SI_NRMSE,SI-NRMSE,50,DS-DMAS,5,5,5,0
6,10,SI_NRMSE,SI-NRMSE,50,TR,2.3,2.5,2.3,0
7,10,Correlation,Correlation,10,DAS,1.5,1.5,1.36,0.14
7,10,Correlation,Correlation,10,CF-DAS,2.2,2.5,2.44,-0.24
7,10,Correlation,Correlation,10,SCF-DAS,6,6,6,0
7,10,Correlation,Correlation,10,DMAS,4,4,4,0
7,10,Correlation,Correlation,10,DS-DMAS,5,5,5,0
7,10,Correlation,Correlation,10,TR,2.3,2.5,2.2,0.0999999999999996
7,10,Correlation,Correlation,20,DAS,1.45,1,1.36,0.0899999999999999
7,10,Correlation,Correlation,20,CF-DAS,2.35,3,2.44,-0.0899999999999999
7,10,Correlation,Correlation,20,SCF-DAS,6,6,6,0
7,10,Correlation,Correlation,20,DMAS,4,4,4,0
7,10,Correlation,Correlation,20,DS-DMAS,5,5,5,0
7,10,Correlation,Correlation,20,TR,2.2,2,2.2,0
7,10,Correlation,Correlation,30,DAS,1.43333333333333,1,1.36,0.0733333333333333
7,10,Correlation,Correlation,30,CF-DAS,2.5,3,2.44,0.0600000000000001
7,10,Correlation,Correlation,30,SCF-DAS,6,6,6,0
7,10,Correlation,Correlation,30,DMAS,4,4,4,0
7,10,Correlation,Correlation,30,DS-DMAS,5,5,5,0
7,10,Correlation,Correlation,30,TR,2.06666666666667,2,2.2,-0.133333333333333
7,10,Correlation,Correlation,40,DAS,1.375,1,1.36,0.0149999999999999
7,10,Correlation,Correlation,40,CF-DAS,2.45,3,2.44,0.0100000000000002
7,10,Correlation,Correlation,40,SCF-DAS,6,6,6,0
7,10,Correlation,Correlation,40,DMAS,4,4,4,0
7,10,Correlation,Correlation,40,DS-DMAS,5,5,5,0
7,10,Correlation,Correlation,40,TR,2.175,2,2.2,-0.0250000000000004
7,10,Correlation,Correlation,50,DAS,1.36,1,1.36,0
7,10,Correlation,Correlation,50,CF-DAS,2.44,3,2.44,0
7,10,Correlation,Correlation,50,SCF-DAS,6,6,6,0
7,10,Correlation,Correlation,50,DMAS,4,4,4,0
7,10,Correlation,Correlation,50,DS-DMAS,5,5,5,0
7,10,Correlation,Correlation,50,TR,2.2,2,2.2,0
8,10,SSIM,SSIM,10,DAS,5.1,5,5.02,0.0800000000000001
8,10,SSIM,SSIM,10,CF-DAS,2.8,3,2.86,-0.0600000000000001
8,10,SSIM,SSIM,10,SCF-DAS,1,1,1,0
8,10,SSIM,SSIM,10,DMAS,5.9,6,5.98,-0.0800000000000001
8,10,SSIM,SSIM,10,DS-DMAS,2.2,2,2.14,0.0600000000000001
8,10,SSIM,SSIM,10,TR,4,4,4,0
8,10,SSIM,SSIM,20,DAS,5.05,5,5.02,0.0300000000000002
8,10,SSIM,SSIM,20,CF-DAS,2.8,3,2.86,-0.0600000000000001
8,10,SSIM,SSIM,20,SCF-DAS,1,1,1,0
8,10,SSIM,SSIM,20,DMAS,5.95,6,5.98,-0.0300000000000002
8,10,SSIM,SSIM,20,DS-DMAS,2.2,2,2.14,0.0600000000000001
8,10,SSIM,SSIM,20,TR,4,4,4,0
8,10,SSIM,SSIM,30,DAS,5.03333333333333,5,5.02,0.0133333333333336
8,10,SSIM,SSIM,30,CF-DAS,2.8,3,2.86,-0.0600000000000001
8,10,SSIM,SSIM,30,SCF-DAS,1,1,1,0
8,10,SSIM,SSIM,30,DMAS,5.96666666666667,6,5.98,-0.0133333333333336
8,10,SSIM,SSIM,30,DS-DMAS,2.2,2,2.14,0.0600000000000001
8,10,SSIM,SSIM,30,TR,4,4,4,0
8,10,SSIM,SSIM,40,DAS,5.025,5,5.02,0.00500000000000078
8,10,SSIM,SSIM,40,CF-DAS,2.85,3,2.86,-0.00999999999999979
8,10,SSIM,SSIM,40,SCF-DAS,1,1,1,0
8,10,SSIM,SSIM,40,DMAS,5.975,6,5.98,-0.00500000000000078
8,10,SSIM,SSIM,40,DS-DMAS,2.15,2,2.14,0.00999999999999979
8,10,SSIM,SSIM,40,TR,4,4,4,0
8,10,SSIM,SSIM,50,DAS,5.02,5,5.02,0
8,10,SSIM,SSIM,50,CF-DAS,2.86,3,2.86,0
8,10,SSIM,SSIM,50,SCF-DAS,1,1,1,0
8,10,SSIM,SSIM,50,DMAS,5.98,6,5.98,0
8,10,SSIM,SSIM,50,DS-DMAS,2.14,2,2.14,0
8,10,SSIM,SSIM,50,TR,4,4,4,0
9,10,CNR,CNR,10,DAS,1.9,2,1.9,0
9,10,CNR,CNR,10,CF-DAS,3,3,3,0
9,10,CNR,CNR,10,SCF-DAS,6,6,6,0
9,10,CNR,CNR,10,DMAS,4,4,4,0
9,10,CNR,CNR,10,DS-DMAS,5,5,5,0
9,10,CNR,CNR,10,TR,1.1,1,1.1,0
9,10,CNR,CNR,20,DAS,1.95,2,1.9,0.05
9,10,CNR,CNR,20,CF-DAS,3,3,3,0
9,10,CNR,CNR,20,SCF-DAS,6,6,6,0
9,10,CNR,CNR,20,DMAS,4,4,4,0
9,10,CNR,CNR,20,DS-DMAS,5,5,5,0
9,10,CNR,CNR,20,TR,1.05,1,1.1,-0.05
9,10,CNR,CNR,30,DAS,1.93333333333333,2,1.9,0.0333333333333334
9,10,CNR,CNR,30,CF-DAS,3,3,3,0
9,10,CNR,CNR,30,SCF-DAS,6,6,6,0
9,10,CNR,CNR,30,DMAS,4,4,4,0
9,10,CNR,CNR,30,DS-DMAS,5,5,5,0
9,10,CNR,CNR,30,TR,1.06666666666667,1,1.1,-0.0333333333333334
9,10,CNR,CNR,40,DAS,1.9,2,1.9,0
9,10,CNR,CNR,40,CF-DAS,3,3,3,0
9,10,CNR,CNR,40,SCF-DAS,6,6,6,0
9,10,CNR,CNR,40,DMAS,4,4,4,0
9,10,CNR,CNR,40,DS-DMAS,5,5,5,0
9,10,CNR,CNR,40,TR,1.1,1,1.1,0
9,10,CNR,CNR,50,DAS,1.9,2,1.9,0
9,10,CNR,CNR,50,CF-DAS,3,3,3,0
9,10,CNR,CNR,50,SCF-DAS,6,6,6,0
9,10,CNR,CNR,50,DMAS,4,4,4,0
9,10,CNR,CNR,50,DS-DMAS,5,5,5,0
