FamilyID,SNR_dB,Metric,MetricLabel,N,P_Friedman,Kendall_W,SpearmanToN50,CheckpointWinner,FinalWinner_N50,WinnerMatchesFinal,MaxAbsMeanRankShift
22,30,Correlation,Correlation,20,1.96294518329538e-18,0.925428571428571,1,DAS,DAS,1,0.0500000000000003
22,30,Correlation,Correlation,30,1.98246457212448e-28,0.931936507936508,1,DAS,DAS,1,0.133333333333333
22,30,Correlation,Correlation,40,2.48194589396398e-38,0.931214285714286,1,DAS,DAS,1,0.0250000000000004
22,30,Correlation,Correlation,50,3.00607106565658e-48,0.930285714285714,1,DAS,DAS,1,0
23,30,SSIM,SSIM,10,2.64303631925547e-09,0.972571428571429,1,SCF-DAS,SCF-DAS,1,0
23,30,SSIM,SSIM,20,1.86561753413781e-19,0.974,1,SCF-DAS,SCF-DAS,1,0.0499999999999998
23,30,SSIM,SSIM,30,1.05031244219466e-29,0.971936507936508,1,SCF-DAS,SCF-DAS,1,0.0333333333333332
23,30,SSIM,SSIM,40,4.60620307479978e-40,0.971714285714286,1,SCF-DAS,SCF-DAS,1,0.0500000000000003
23,30,SSIM,SSIM,50,1.62613986725312e-50,0.972571428571429,1,SCF-DAS,SCF-DAS,1,0
24,30,CNR,CNR,10,1.76565273908492e-09,0.989714285714286,1,TR,TR,1,0.02
24,30,CNR,CNR,20,6.87798878795111e-20,0.994571428571429,1,TR,TR,1,0.0700000000000001
24,30,CNR,CNR,30,2.25197001916951e-30,0.992888888888889,1,TR,TR,1,0.0533333333333335
24,30,CNR,CNR,40,9.73126686403382e-41,0.9875,1,TR,TR,1,0.00499999999999989
24,30,CNR,CNR,50,2.44026766765121e-51,0.987931428571429,1,TR,TR,1,0
25,30,SBR_dB,SBR,10,1.38579733670096e-09,1,1,SCF-DAS,SCF-DAS,1,0.02
25,30,SBR_dB,SBR,20,5.28514836094325e-20,1,1,SCF-DAS,SCF-DAS,1,0.02
25,30,SBR_dB,SBR,30,1.33513788730032e-30,1,1,SCF-DAS,SCF-DAS,1,0.02
25,30,SBR_dB,SBR,40,2.84062289864151e-41,1,1,SCF-DAS,SCF-DAS,1,0.02
25,30,SBR_dB,SBR,50,9.55922894262065e-52,0.99552,1,SCF-DAS,SCF-DAS,1,0
