FamilyID,SNR_dB,Metric,MetricLabel,MethodA,MethodB,MedianDelta_AminusB_Raw,RawMedianCI95_Low,RawMedianCI95_High,MedianDelta_Oriented,OrientedMedianCI95_Low,OrientedMedianCI95_High,P_Wilcoxon_Raw,RankBiserial,Seeds_A_Better,Seeds_B_Better,Seeds_Tied,P_Wilcoxon_Holm15,Significant_Holm15,P_Wilcoxon_Holm375,Significant_Holm375,OmnibusSignificant_Holm25,PrimaryPairwiseSignificant
6,10,SI_NRMSE,SI-NRMSE,DMAS,TR,0.156251416725409,0.151570728998928,0.164507511330844,-0.156251416725409,-0.164507511330844,-0.151570728998928,7.55692945586362e-10,-1,0,50,0,1.13353941837954e-08,1,2.83384854594886e-07,1,1,1
6,10,SI_NRMSE,SI-NRMSE,DS-DMAS,TR,0.229221447598168,0.226324162796661,0.2312591309749,-0.229221447598168,-0.2312591309749,-0.226324162796661,7.55692945586362e-10,-1,0,50,0,1.13353941837954e-08,1,2.83384854594886e-07,1,1,1
7,10,Correlation,Correlation,DAS,CF-DAS,0.0203157220207325,0.012404050986235,0.0273654475933021,0.0203157220207325,0.012404050986235,0.0273654475933021,2.1183855614204e-07,0.843137254901961,42,8,0,6.35515668426121e-07,1,5.71964101583509e-06,1,1,1
7,10,Correlation,Correlation,DAS,SCF-DAS,0.415552068635668,0.4079370083668,0.420059693983259,0.415552068635668,0.4079370083668,0.420059693983259,7.55692945586362e-10,1,50,0,0,1.13353941837954e-08,1,2.83384854594886e-07,1,1,1
7,10,Correlation,Correlation,DAS,DMAS,0.217987184800138,0.214362808844628,0.224811087056837,0.217987184800138,0.214362808844628,0.224811087056837,7.55692945586362e-10,1,50,0,0,1.13353941837954e-08,1,2.83384854594886e-07,1,1,1
7,10,Correlation,Correlation,DAS,DS-DMAS,0.368937606029715,0.365702313171166,0.373248388573029,0.368937606029715,0.365702313171166,0.373248388573029,7.55692945586362e-10,1,50,0,0,1.13353941837954e-08,1,2.83384854594886e-07,1,1,1
7,10,Correlation,Correlation,DAS,TR,0.0114418782049335,0.00622475400269401,0.013984065991947,0.0114418782049335,0.00622475400269401,0.013984065991947,8.3644324700542e-05,0.63921568627451,40,10,0,0.000167288649401084,1,0.00167288649401084,1,1,1
7,10,Correlation,Correlation,CF-DAS,SCF-DAS,0.395206386507103,0.386270240884892,0.403641240774681,0.395206386507103,0.386270240884892,0.403641240774681,7.55692945586362e-10,1,50,0,0,1.13353941837954e-08,1,2.83384854594886e-07,1,1,1
7,10,Correlation,Correlation,CF-DAS,DMAS,0.202382276627958,0.192857450446281,0.206598675011977,0.202382276627958,0.192857450446281,0.206598675011977,7.55692945586362e-10,1,50,0,0,1.13353941837954e-08,1,2.83384854594886e-07,1,1,1
7,10,Correlation,Correlation,CF-DAS,DS-DMAS,0.349212918990302,0.33773326612275,0.358551265762955,0.349212918990302,0.33773326612275,0.358551265762955,7.55692945586362e-10,1,50,0,0,1.13353941837954e-08,1,2.83384854594886e-07,1,1,1
7,10,Correlation,Correlation,CF-DAS,TR,-0.010682843816825,-0.0196950634091762,0.00148861880019902,-0.010682843816825,-0.0196950634091762,0.00148861880019902,0.00308909711571751,-0.48078431372549,20,30,0,0.00308909711571751,1,0.0494255538514801,1,1,1
