StageIndex,Stage,StageLabel,Method,Raw_NRMSE,SI_NRMSE,Correlation,SSIM,CNR,SBR_dB,ScaleFactor,Signal_RMS,Background_RMS,ZeroBackground,Runtime_s,RuntimeDefinition,ReconSoundSpeedModel,FiniteApertureTreatment
3,D3_heterogeneity,+ Heterogeneity,TR,0.805078828540675,0.761612346312336,0.660586769393931,0.771934980862237,1.51216896681893,15.0537736363578,1.67417526459083,0.161315586891132,0.0285093719899412,0,26.0552833,actual_TR_wall_time,recorded_c_rho_maps,equivalent_element_centres
4,D4_attenuation,+ Attenuation,DAS,0.988813292541492,0.724131871450439,0.698454264849474,0.801792201646274,1.2838835948487,16.9402460490439,42.250862807543,0.00745629538038792,0.00106050031479372,0,0.0657057,shared_delay_plus_method_weighting,scalar_c_1500,physical_element_centres
4,D4_attenuation,+ Attenuation,CF-DAS,0.999236959908297,0.843665054146334,0.541394894816553,0.884062658889134,0.538955093402056,20.2718455972055,377.381556434897,0.000746664631775935,7.23657887686668e-05,0,0.0658636,shared_delay_plus_method_weighting,scalar_c_1500,physical_element_centres
4,D4_attenuation,+ Attenuation,SCF-DAS,0.999883445933416,0.949161474614296,0.315530067117636,0.863447171328261,0.273179917109471,21.8465085840225,849.734048912449,0.000198931943258807,1.6083445650889e-05,0,0.0854664,shared_delay_plus_method_weighting,scalar_c_1500,physical_element_centres
4,D4_attenuation,+ Attenuation,DMAS,0.998426568305084,0.860951022718221,0.509233018130558,0.641602965374726,0.608716345139695,17.084434261973,164.085896050991,0.00142838936941205,0.000199813531809268,0,0.108023,shared_delay_plus_method_weighting,scalar_c_1500,physical_element_centres
4,D4_attenuation,+ Attenuation,DS-DMAS,0.999370518415699,0.918379444827515,0.376871701822713,0.857554212861513,0.470125451294226,15.0342053948966,248.32039694625,0.000655551017219018,0.000116117112029839,0,2.1193754,shared_delay_plus_method_weighting,scalar_c_1500,physical_element_centres
4,D4_attenuation,+ Attenuation,TR,0.817631550914009,0.757243309038023,0.665553104312127,0.767028021197484,1.53777992372498,15.0458344435644,1.89454654971608,0.143785654742539,0.0254345370508112,0,26.7450858,actual_TR_wall_time,recorded_c_rho_maps,equivalent_element_centres
5,D5_noise,+ Noise,DAS,0.988840486701654,0.726154545995046,0.69745416965658,0.781861447656326,1.28170697104306,16.885117890834,42.090104993,0.00744535906834819,0.00106568720820944,0,0.0670032,shared_delay_plus_method_weighting,scalar_c_1500,physical_element_centres
5,D5_noise,+ Noise,CF-DAS,0.999239586668773,0.843950809385456,0.541010126046584,0.883896911311461,0.537870728882958,20.2685115230275,378.051980813261,0.000744676986590747,7.22008576621163e-05,0,0.0671441,shared_delay_plus_method_weighting,scalar_c_1500,physical_element_centres
5,D5_noise,+ Noise,SCF-DAS,0.999901256918206,0.948725595624961,0.317266825835491,0.891576757468989,0.281367893091084,21.2947969964593,1011.46611861009,0.000165385391394851,1.4248111187315e-05,0,0.0884356,shared_delay_plus_method_weighting,scalar_c_1500,physical_element_centres
5,D5_noise,+ Noise,DMAS,0.998451683811417,0.86367121071937,0.512140281707262,0.536194429103328,0.61830232643053,16.8708564365485,163.721309875829,0.00140653399754246,0.0002016542651863,0,0.1092257,shared_delay_plus_method_weighting,scalar_c_1500,physical_element_centres
5,D5_noise,+ Noise,DS-DMAS,0.999394274382512,0.920510360421049,0.372402745243943,0.868803252708947,0.472196486895793,14.7674712084864,251.604778362331,0.000629575435904329,0.000114993744087772,0,1.99367,shared_delay_plus_method_weighting,scalar_c_1500,physical_element_centres
5,D5_noise,+ Noise,TR,0.817586032459956,0.757252029861355,0.665528800200385,0.765416173933233,1.53632491196691,15.0497726654656,1.89379201691153,0.143863911902692,0.0254368443231113,0,26.7864121,actual_TR_wall_time,recorded_c_rho_maps,equivalent_element_centres
